Id,Petro,dalma,Heber,Platy,Ponde,Plect,Rafin,strop,Zygos,bifol,Const,Cuffe,encru,Escha,fenes,massi,Parvo,ramos,thinr,Ambon,bival,Carit,modio,belle,Cyclo,gastr,Lopho,nauti,Cornu,calym,Cerau,Isote,odont,Cinci,crino,Ecten,Glycr,Ptych
2S003,0,0,6,0,6,0,0,0,1,0,0,0,2,0,0,0,0,32,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S004,0,0,15,5,6,0,0,0,1,0,5,0,0,0,0,0,0,29,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0
2S005,1,0,7,2,0,0,1,0,3,0,0,0,0,0,0,0,0,6,1,1,0,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0
2S006,0,0,9,0,10,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2S007,0,0,14,2,2,0,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2S008,0,0,12,1,0,0,1,6,5,0,0,0,0,0,1,0,0,8,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2S009,0,0,7,4,18,0,1,0,2,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2S010,0,0,10,1,16,0,0,0,15,0,0,0,2,0,0,4,0,11,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S011,0,0,3,4,0,0,1,0,4,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S012,0,0,6,18,0,0,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2S013,0,0,3,12,0,0,2,0,2,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2S014,0,0,6,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S015,0,0,5,5,3,0,0,0,5,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S016,0,0,2,5,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2S017,0,0,6,8,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S018,0,0,4,1,0,0,5,0,3,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2S019,0,0,1,1,0,0,15,0,7,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2S020,0,0,4,6,0,0,4,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S021,0,0,12,7,1,0,2,0,0,4,0,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2S022,0,0,13,0,19,0,3,0,0,5,0,0,0,0,0,0,4,27,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S023,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0,2,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S024,0,0,7,0,16,0,0,0,0,8,0,0,6,0,0,0,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S025,0,0,16,0,5,0,0,0,0,0,0,0,3,0,0,7,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S026,1,0,10,0,26,0,9,0,0,3,0,2,4,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2S027,0,0,7,0,5,0,4,0,0,0,0,0,0,0,0,0,3,37,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2S028,1,0,11,1,5,0,1,0,0,4,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2S029,4,0,23,7,6,0,2,0,2,15,0,4,13,0,0,7,7,14,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S030,0,0,29,0,5,0,1,0,45,0,0,0,1,0,0,0,3,4,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2S031,0,0,8,3,2,0,2,0,10,0,0,0,2,0,0,0,2,38,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
2S032,0,0,3,6,12,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2S033,0,0,4,0,11,0,20,0,1,2,0,0,2,0,0,0,0,26,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2S034,0,0,4,0,12,0,4,0,4,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S035,0,0,12,0,9,0,6,0,0,0,0,0,3,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2S036,0,0,4,0,2,0,6,0,43,0,0,0,0,0,0,0,0,19,0,0,5,0,0,0,0,0,32,0,0,1,0,0,0,1,0,0,0,0
2S037,0,0,0,2,15,0,0,0,2,3,0,0,2,0,0,1,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S038,0,0,1,2,0,0,0,4,2,0,8,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
