,x,y,clay1,clay2,clay3,clay4,valsSlope,valsDem
11288,NA,NA,NA,NA,NA,NA,NA,NA
11289,NA,NA,NA,NA,NA,NA,NA,NA
11290,NA,NA,NA,NA,NA,NA,NA,NA
11291,NA,NA,NA,NA,NA,NA,NA,NA
11292,NA,NA,NA,NA,NA,NA,NA,NA
11293,NA,NA,NA,NA,NA,NA,NA,NA
11294,NA,NA,NA,NA,NA,NA,NA,NA
11295,NA,NA,NA,NA,NA,NA,NA,NA
11296,NA,NA,NA,NA,NA,NA,NA,NA
11297,NA,NA,NA,NA,NA,NA,NA,NA
11298,NA,NA,NA,NA,NA,NA,NA,NA
11299,NA,NA,NA,NA,NA,NA,NA,NA
11300,NA,NA,NA,NA,NA,NA,NA,NA
11301,NA,NA,NA,NA,NA,NA,NA,NA
11302,NA,NA,NA,NA,NA,NA,NA,NA
11303,601529.3081,6158969.61,24.129,28.514,33.097,21.882,0.059769094,361.1242065
11304,601557.6423,6158969.61,24.129,28.514,33.097,21.882,0.059552401,360.2833862
11305,601585.9765,6158969.61,24.129,28.514,33.097,21.882,0.062735677,359.6096802
11306,601614.3108,6158969.61,23.211,28.504,34.533,25.603,0.068315014,359.0091248
11307,601642.645,6158969.61,23.211,28.504,34.533,25.603,0.072580241,358.324585
11308,601670.9792,6158969.61,23.211,28.504,34.533,25.603,0.071751572,357.4135742
11309,601699.3135,6158969.61,23.211,28.504,34.533,25.603,0.065372497,356.388855
11310,601727.6477,6158969.61,25.24,28.477,31.113,17.872,0.055054173,355.529541
11311,601755.982,6158969.61,25.24,28.477,31.113,17.872,0.045515493,355.0378418
11312,601784.3162,6158969.61,25.24,28.477,31.113,17.872,0.040103808,354.8692932
11313,601812.6504,6158969.61,25.087,28.79,32.079,19.869,0.039496116,354.9649963
